Data Broker Name,Email Address (Accessible to the public),Website URL,Privacy policy URL,Opt out URL,Physical Address,How a consumer may opt out of sale or submit requests under the CCPA,How a protected individual can demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1),Additional information about data collecting practices,Date Added to California AG list ( https://oag.ca.gov/data-brokers ),Kanary,Vermont ID,stopdatamining.me,Criteo data partner,Excessive opt-out,Notes
"PlaceIQ, Inc.",privacy [at] placeiq.com,http://www.placeiq.com,,,"5 Bryant18th FloorNew York, NY 10018United States","You can make requests related to your California privacy rights at the following links:

Access My Personal Information
Delete My Personal Information
Do Not Sell My Personal Information
Apple/IOS Users: https://apps.apple.com/us/app/placeiq-privacy-navigator/id1492102465?ls=1
Android Users: https://play.google.com/store/apps/details?id=com.placeiq

NOTE: If you are currently not on a mobile device, please visit placeiq.com/privacy on your mobile devices and then click on the appropriate link above to be directed to our privacy app. Your mobile advertising ID is the only way we can connect you to your device and therefore it is necessary to download the app and complete the flow to provide us with that ID.

You may also make those requests by calling 1-800-311-2414.

Please be aware that we do not accept or process requests through other means (e.g., via fax, social media, email addresses, etc.).

We will review the information provided and may request additional information to ensure we are interacting with the correct individual. Please also be aware that making any such request does not ensure complete or comprehensive removal or deletion of Personal Information or content you may have posted, and there may be circumstances in which the law does not require or allow us to fulfill your request.","You can make requests related to your California privacy rights at the following links:

Access My Personal Information
Delete My Personal Information
Do Not Sell My Personal Information
Apple/IOS Users: https://apps.apple.com/us/app/placeiq-privacy-navigator/id1492102465?ls=1
Android Users: https://play.google.com/store/apps/details?id=com.placeiq

NOTE: If you are currently not on a mobile device, please visit placeiq.com/privacy on your mobile devices and then click on the appropriate link above to be directed to our privacy app. Your mobile advertising ID is the only way we can connect you to your device and therefore it is necessary to download the app and complete the flow to provide us with that ID.

You may also make those requests by calling 1-800-311-2414.

Please be aware that we do not accept or process requests through other means (e.g., via fax, social media, email addresses, etc.).

We will review the information provided and may request additional information to ensure we are interacting with the correct individual. Please also be aware that making any such request does not ensure complete or comprehensive removal or deletion of Personal Information or content you may have posted, and there may be circumstances in which the law does not require or allow us to fulfill your request.",Please visit: www.placeiq.com/privacy,02/07/2020,,,,,,
"PossibleNow Data Services, Inc",info [at] possiblenow.com,http://www.possiblenow.com,,,"4400 Rivergreen ParkwaySuite 100Duluth, GA 30096United States",Email us at info@possiblenow.com,Email us at info@possiblenow.com,,02/27/2020,,352828,,,,PossibleNOW Data Services
PrivateEye,,,,http://www.privateeye.com/Help/default.aspx?from=hys0359866156&piid=03#RemoveFromRecords,,Look up your information. Mail information requested.,,,,,,14 Apr 2020,,,
Project Applecart LLC,,applecart.co,,,"234 W 39th Street, 5th Floor, New York, NY, 10018, USA",,,,,,367874,,,,
project liberal,,,,,,,,,,13 Apr 2020,,,,,
"PropertyRadar, Inc.",privacy [at] propertyradar.com,http://www.propertyradar.com,,,"12242 Business Park Dr, Ste 20Truckee, CA 96161United States","By completing the form at https://www.propertyradar.com/dsar, or by calling our consumer request line at 888-914-9661 and entering the pin 640 222.","By completing the form at https://www.propertyradar.com/dsar, or by calling our consumer request line at 888-914-9661 and entering the pin 640 222.","PropertyRadar provides public records based data to real estate centric businesses and government agencies for marketing and research purposes. While the majority of the data we resell is lawfully made available from federal, state, or local government records, and therefore not subject to CCPA, we do append certain personal information that we license from other data brokers. This data includes demographic, phone, email and similar information gathered from public and self-reported sources. Consumers may learn more about our privacy policy at www.propertyradar.com/privacy-policy.",03/23/2020,,,,,,
PublicBackgroundChecks.com,,,,http://www.publicbackgroundchecks.com/privacypolicy.aspx,,Look up your information. Mail information requested.,,,,,,14 Apr 2020,,,
Publicis,privacyofficer@publicisgroupe.com,,,https://www.publicisgroupe.com/en/cookies,,,,,,,,,,,
PublicRecords ,,,,https://www.publicrecords.com/privacy,,,,,,13 Apr 2020,,,,,https://www.vice.com/en_us/article/ne9b3z/how-to-get-off-data-broker-and-people-search-sites-pipl-spokeo
PublicRecords360,,,,http://www.peoplefinder.com/optout.php,,,,,,13 Apr 2020,,,,,https://www.vice.com/en_us/article/ne9b3z/how-to-get-off-data-broker-and-people-search-sites-pipl-spokeo
PublicRecordsNOW,,,,http://www.publicrecordsnow.com/?from=hys0359866907&piid=46,,Look up your information. Mail information requested.,,,,13 Apr 2020,,14 Apr 2020,,,
Publishers Clearing House,,,,http://www.pch.com/infocenter/privacypolicy.shtml?cm_re=PCH.com-_-TopShell-_-Dec08Privacy#12,,Email or mail information requested.,,,,,,14 Apr 2020,,,
"PushSpring, Inc.",privacy [at] pushspring.com,http://www.pushspring.com,,,"12920 SE 38th StreetBellevue, WA 98006United States","To learn how to opt-out of our sale, license, or use of your personal data by PushSpring to support interest-based advertising, you may visit https://www.pushspring.com/optout.html, or call 1-844-905-1877, and follow the opt-out instructions. To submit requests under the CCPA, contact us at: privacy@pushspring.com.","PushSpring does not publish home address, telephone number, or image information. Questions about information we collect can be addressed by our privacy policy (https://www.pushspring.com/privacy.html) or by contacting us at privacy@pushspring.com.",Our data collection practices involve licensing of preference data linked to pseudonymous mobile device identifiers created for advertising and marketing purposes.,02/07/2020,,,,,,
Quality Planning Corporation,,https://www.verisk.com/insurance/capabilities/underwriting/property/,,,"388 Market Street, # 750, San Francisco, CA, 94111, USA",,,,,,367717,,,,
"QuinStreet, Inc.",legalq [at] quinstreet.com,https://www.quinstreet.com/,,,"950 Tower Lane Suite 600Foster City, CA 94404United States","A consumer may opt-out of sale or submit requests under the CCPA by following the links provided in QuinStreet's Privacy Notice which can be accessed at this URL, https://www.quinstreet.com/privacy-notice/.",A protected individual may demand deletion of any information posted online by emailing legalq@quinstreet.com.,https://www.quinstreet.com/privacy-notice/,03/19/2020,,,,,,
R. L. Polk & Co.,,www.polk.com,,,"26533 Evergreen, Ste. 1100, Southfield, MI, 48076, USA",,,,,,367911,,,,
R.L. Polk & Co.,Privacy [at] ihsmarkit.com,https://ihsmarkit.com/industry/automotive.html,,,"15 Inverness Drive SouthAttn: Chief Privacy OfficerEnglewood, CO 80112United States","http://more.ihs.com/DoNotSell
1-800-447-2273","https://app.onetrust.com/app/#/webform/7020d814-78eb-45f1-bfbb-491ca1076fdd
1-800-447-2273",https://ihsmarkit.com/Legal/privacy-policy.html,04/08/2020,,,,,,
Radaris,,,,http://radaris.com/page/how-to-remove,,,,,,13 Apr 2020,,,,,
Raw Engineering LLC,privacy [at] raweng.com,http://www.raweng.com,,,"49 Geary St. Sute 238San Francisco, CA 94108United States","Consumers may opt out of sale or submit requests under the CCPA via email to privacy@raweng.com, via webform or toll free number.","Raw Engineering does not post information of consumers online. Consumers may submit requests for deletion under the CCPA via email to privacy@raweng.com, via webform or toll free number.","Raw Engineering LLC provides development and support services for businesses IT operations, which may provide us with access to personal information of our customers' end users during the provision of those services. End user information, which may be considered consumer personal data will be governed by our agreements providing the Professional Services to our Customers who are the data controllers and who instruct us how to process the data or use the Professional Services to process the data they collect. However, for entities or individuals that are Customers, and which are located in California, the UK, European Economic Area (EEA) or Switzerland or serving subjects located in California, the UK, European Economic Area (EEA) or Switzerland, we will govern our use of End User data based on the execution of a Data Processing Addendum requiring transfer and processing in accordance with applicable data protection laws.

More information on Raw Engineering data protection practices can be found on its website at www.raweng.com",03/05/2020,,,,,,
"ReallyGreatRate, Inc., DBA RGR Marketing",ccpa [at] rgrmarketing.com,http://www.rgrmarketing.com,,,"2041 ROSECRANS AVENUESUITE 320EL SEGUNDO, CA 90245United States","RGR has ""Do Not Sell My Info"" links on all consumer-facing sites. The same link and phone number are available in the RGR privacy policies. Consumers can leave a voicemail in order to opt of the sale of their data. Alternatively, they can go through the only portal in order to opt-out. All requests are completed well within the required timeline.","RGR has ""Do Not Sell My Info"" links on all consumer-facing sites. The same link and phone number are available in the RGR privacy policies. Consumers can leave a voicemail in order to have their data deleted. Alternatively, they can go through the only portal in order to have their data deleted. All requests are completed well within the required timeline.",,03/09/2020,,,,,,
RealSource Inc.,privacy [at] realsourcedata.com,http://www.realsourcedata.com,,,"8N980 Dittman RoadElgin, IL 60124United States","Privacy Policy on website:

Opting out of our Marketing Data Products and Services
If you wish to opt-out of our Marketing Databases, please contact us via email at privacy@realsourcedata.com. Your request will remove your name and address however, please note that opting-out of our databases will not prevent other companies form sending you direct marketing materials.

Opting out of our Telephone Data:
We subscribe to the FTC’s Do-Not-Call Registry. If you wish to register with the FTC’s Do Not Call Registry, please see their website for details www.donotcall.gov. Placing your number on this national registry will stop most, but not all telemarketing calls.

California Consumer Privacy Act (CCPA)
As a CA resident, you have the right to request that RealSource Data disclose the categories and specific pieces of personal information that we have collected about you. To request this information, click on the following link:

privacy@realsourcedata.com

You have the right to request that RealSource Data delete any personal information about you that RealSource Data has collected. To request this information, click on the following link:

 privacy@realsourcedata.com

Do Not Sell My Personal Information
You have the right, at any time, to direct RealSource Data not to sell your personal information. To request this information, click on the following link:

Do-Not-Sell-My-Personal-Information","Privacy Policy on website: 
You have the right to request that RealSource Data delete any personal information about you that RealSource Data has collected. To request this information, click on the following link:

 privacy@realsourcedata.com","Below is listed on our Privacy Policy page:

RealSource Inc. collects the following categories of information about consumers:

Personal and online identifiers;
Commercial or transactions information;
Internet activity information;
Geolocation data;
Inferences about your predicted characteristics and preferences; and
Categories of personal information described in Cal. Civ. Code § 1798.80(e)—such as telephone number
Other information about you that is linked to personal information above, such as information on individuals of recently moved
RealSource Data collects personal information from different sources. In the past twelve (12) months, RealSource Data has collected personal information about consumers from the following categories of sources:

Apparel & Accessory Companies
Automotive Companies
Business to Business Companies
Inquiries About Products or Services
Consumer Survey Companies
Surveys from Consumers/Self-Reported Data
Data Compiling Companies
Health and Wellness Product and Service Companies
Electronics Companies
Financial Services Companies
Food & Beverage Companies
Gift Product Companies
Lifestyle & Interest Product Companies
Not for Profit Organizations
Public or Government Entities
Publishing Product Companies
Telecommunications Companies
Travel, Leisure & Entertainment Companies
In the past twelve (12) months, RealSource Data has sold the following categories of personal information about consumers to the following categories of third parties:

Advertising/Marketing Companies
Advertising Networks
Apparel & Accessory Companies
Automotive Companies
Business Services/Agencies
Business to Business Companies
Communication Services Companies
Consumer Packaged Goods Companies
Consumer Services Companies
Health and Wellness Product and Service Companies
Marketing Data Companies
Data Analytics Providers
Consumer Data Resellers
Educational Institutions & Companies
Electronics Companies
Financial Services Companies
Food & Beverage Companies
Gift Product Companies
Lifestyle & Interest Product Companies
Manufacturing Companies
Not for Profit Organizations
Publishing Product Companies
Technology/Computer Software Companies
Telecommunications Companies
Travel, Leisure & Entertainment Companies
Affiliates not under the RealSource Data brand
Public or Government Entities
RealSource Data shares data for the following purposes:

Marketing and
Validation of consumer identity",02/07/2020,,,,,,
